State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.33846	4.20779	3.81576	3.66766	3.63281	3.51956	3.45858	3.44115	3.02299	2.70936	2.63967	2.73550	2.96200	2.91845	2.94458	2.77034	2.72679	2.72679	2.90102	3.12753	3.08397
2	2.67046	2.70211	2.78123	2.70211	2.69024	2.69024	2.80101	2.77332	2.84453	2.76145	2.81288	2.78519	2.74563	2.60320	2.57155	2.71398	2.72584	2.63881	2.52408	2.63485	2.59529
3	1.97960	1.96868	2.00144	1.98233	2.05605	2.07243	2.12158	2.06697	2.24718	2.21169	2.05059	2.05878	2.04240	2.05059	1.96321	1.99052	1.97687	1.95775	1.88403	1.88403	1.96048
4	1.22257	1.20183	1.19695	1.24331	1.22745	1.17133	1.15546	1.21159	1.24453	1.29334	1.38119	1.39095	1.42511	1.47880	1.51540	1.50564	1.56909	1.58983	1.62399	1.62643	1.60447
5	3.05516	3.07802	3.05516	2.92564	2.83421	2.88754	2.72755	2.85707	2.75802	2.92564	2.78088	2.75802	2.75040	2.88754	3.05516	3.16182	2.87993	2.97897	3.01706	2.89516	2.77326
6	4.64006	4.75098	4.88038	4.78795	4.84341	4.63082	4.42747	4.33504	4.15017	3.82666	3.57710	3.31829	3.01327	2.94857	3.02251	2.97629	3.03175	3.20737	3.20737	3.24435	3.05024
7	1.83125	1.82531	1.81541	1.81838	1.81640	1.85204	1.87580	1.89460	1.90054	1.90648	1.87580	1.88965	1.88075	1.88470	1.86293	1.85897	1.86194	1.83521	1.82234	1.79958	1.82432
8	0.60417	0.60244	0.60274	0.60235	0.60261	0.60556	0.60447	0.60512	0.60854	0.61720	0.63024	0.63942	0.65224	0.66541	0.67675	0.68931	0.69862	0.70984	0.72006	0.72694	0.73361
9	1.47449	1.56879	1.48307	1.47449	1.50021	1.59451	1.56022	1.55165	1.73167	1.57737	1.86883	2.16888	2.19460	2.10887	1.89455	2.04029	2.16030	2.02314	2.00600	2.00600	2.04029
10	3.79023	3.81447	3.82892	3.84523	3.84244	3.82053	3.82333	3.79536	3.73990	3.67418	3.55999	3.45045	3.31809	3.16987	3.05381	2.90373	2.78628	2.67442	2.57328	2.48891	2.41947
11	1.56128	1.55224	1.52513	1.53642	1.53190	1.53416	1.57032	1.57709	1.53868	1.52965	1.45960	1.43701	1.41441	1.42119	1.44605	1.42797	1.44153	1.45056	1.44831	1.45056	1.46864
