State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.07494	4.42862	5.08983	6.40458	8.59582	12.21714	18.86006	29.32420	45.58553	65.10681	81.45271	81.54497	66.70603	46.92334	31.26941	21.27427	14.72361	10.69480	7.90385	5.98940	4.98988
2	4.37843	4.97199	5.68777	6.71429	8.47404	10.73308	13.49142	16.14502	15.89712	10.39789	5.69126	7.16121	12.33921	17.01442	17.82795	15.59335	13.34129	10.92512	9.39581	8.25407	7.06694
3	2.31580	2.34954	2.36882	2.37604	2.25074	2.14712	1.98566	1.55190	1.09163	0.89162	0.91090	0.86511	0.82656	0.89403	1.01211	1.32297	1.78324	2.28206	2.46039	2.73510	2.84354
4	3.29401	3.48245	3.63213	3.69459	3.58260	3.32416	2.79221	2.08796	1.42464	1.10159	0.94438	0.89053	0.94761	1.12959	1.60770	2.50362	3.60521	4.24592	4.48713	4.47636	4.34499
5	4.65974	5.78937	7.27538	9.41361	11.97546	14.84661	17.78500	19.65428	19.14998	19.42566	16.60830	13.25974	13.66319	17.99345	23.07680	25.00659	20.91167	17.11260	13.70353	10.74497	9.17827
6	5.61238	6.24867	7.22757	8.66330	10.57216	13.31309	16.88609	20.46725	23.34686	25.21494	26.84644	28.43716	28.54321	26.83828	23.69763	20.41015	16.83715	13.06021	10.82505	8.63883	7.17047
7	4.66680	4.77513	4.83191	4.84239	4.77775	4.58643	4.23961	3.76786	3.32582	3.00695	2.84621	2.79379	2.90736	3.18779	3.56431	3.88318	4.16972	4.42306	4.46849	4.53139	4.48509
8	0.66721	0.64466	0.61955	0.58477	0.54510	0.49522	0.43796	0.38400	0.34467	0.32518	0.31711	0.31746	0.32533	0.33381	0.35040	0.37647	0.41052	0.44660	0.48230	0.50936	0.53244
9	1.80065	1.77039	1.60394	1.46019	1.27862	1.25592	1.36184	1.41480	1.64934	1.76282	1.16513	0.76414	0.62039	0.65822	0.85493	0.85493	0.87763	0.83980	0.80954	0.90033	0.98355
10	0.71862	0.64952	0.58576	0.54503	0.50513	0.47840	0.45454	0.43767	0.43891	0.44590	0.45783	0.47346	0.48457	0.50637	0.52323	0.53763	0.57506	0.65733	0.77374	0.92923	1.08349
11	0.86942	0.84349	0.82355	0.81558	0.78566	0.77370	0.71587	0.67998	0.65206	0.63611	0.68397	0.69394	0.67998	0.68197	0.69593	0.72185	0.75575	0.78168	0.81956	0.83950	0.88537
