state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.40137	74.89854	10.49836	1.65037	2.63995	81.44753	23.80095	0.23949
2	0.88383	5.43656	2.70658	1.50790	2.81318	5.69143	9.45445	0.32567
3	1.28059	0.28180	1.90533	1.60112	2.05081	0.91093	1.70562	0.35022
4	2.86578	0.31482	0.98772	1.35721	1.38133	0.94440	2.59023	0.45625
5	0.45894	16.80668	3.65947	1.37630	2.78117	16.60881	13.76879	0.37878
6	0.37829	57.33654	6.82791	1.33658	3.57747	26.84727	16.17356	0.46718
7	3.53242	4.84496	1.73920	1.00473	1.87599	2.84629	4.10311	0.83328
8	80.74127	0.13347	0.53607	0.85669	0.63031	0.31712	0.48695	1.12618
9	0.40788	1.01954	1.42572	1.02982	1.86903	1.16516	1.26673	0.80337
10	7.50206	0.58699	4.19375	2.21395	3.55896	0.45784	0.60956	0.27742
11	1.54756	1.13502	1.54507	0.76178	1.45976	0.68399	0.74051	0.79324
Base	100	0.69283	2.48814	42.74052	0.00094	0.00107	3.45896	37.26170
