state (Emission order)	CTCF	H3K4me3	H3K27ac	H3K4me1	H3K27me3	H3K9me3	H3K36me3
1	0.20938941590999888	0.9694368473177307	0.9028379990141292	0.07962650194328691	0.008274532282732772	0.0026122059260051994	0.006032100009435859
2	0.09141223408553319	0.9273737420191357	0.9814430502989515	0.9842506783755413	0.004860983066021229	0.001057024411195985	0.02593106147334277
3	0.04621586953256691	0.09577891614648434	0.7655095441496902	0.8237223741440202	0.0027872501299286527	0.0021878184698613957	0.1350514582460193
4	0.018221854474703217	0.003674520004921701	0.07302067825400949	0.4358979089238312	0.007299619293004996	3.152805105063915E-4	0.006161682202188473
5	0.11668154863952145	0.718903368407403	0.0782719192365673	0.7855986984816685	0.021810454115836462	0.002277115556922089	0.008993725347961374
6	0.14002536675745883	0.5284634105782352	0.03538041363196159	0.6477899239903301	0.9196302294670269	0.08576441945318497	0.0063346587217498265
7	0.017177427743856714	2.996422740990323E-4	1.1670680928381541E-4	0.0031295241264792596	0.5760150371867941	0.019912050226172297	0.0016372991563944077
8	0.01084626024995528	4.54311283299676E-4	3.081111169539895E-4	5.120831821543405E-4	0.01334157122466458	0.004656809650493599	0.001370190778023796
9	0.8236424316317301	0.010235456728356913	0.00934908671790549	0.06506705924611637	0.06328043238764443	0.0013415430534767317	0.009284584880046905
10	0.018608831553530786	5.67646920827729E-4	0.04610792170892488	0.00507777453484557	0.004464743719961604	0.002680617327933946	0.6245906941477615
11	0.02142701054253812	0.07486399187696725	0.0026548462823147182	0.0013452344979337258	0.0070907834630456875	0.5055296173865554	0.08356508077630283
