Entry	Entry name	Gene names
Q2M2I8	AAK1_HUMAN	AAK1 KIAA1048
A0A096LNZ0	A0A096LNZ0_HUMAN	AAK1
A0A096LP25	A0A096LP25_HUMAN	AAK1
A0A096LP60	A0A096LP60_HUMAN	AAK1
B7ZLC4	B7ZLC4_HUMAN	AAK1
D6W5G0	D6W5G0_HUMAN	AAK1 hCG_1776993
E9PG46	E9PG46_HUMAN	AAK1
L0R804	L0R804_HUMAN	AAK1
Q9BUD9	Q9BUD9_HUMAN	AAK1
Q9NRN7	ADPPT_HUMAN	AASDHPPT CGI-80 HAH-P HSPC223 x0005
E9PLW6	E9PLW6_HUMAN	AASDHPPT
E9PNF3	E9PNF3_HUMAN	AASDHPPT
Q9NY61	AATF_HUMAN	AATF CHE1 DED HSPC277
A0A087WTH8	A0A087WTH8_HUMAN	AATF
A0A087WW41	A0A087WW41_HUMAN	AATF
A0A087WWS8	A0A087WWS8_HUMAN	AATF
A0A0J9YWE9	A0A0J9YWE9_HUMAN	AATF
A0A7P0T868	A0A7P0T868_HUMAN	AATF
A0A7P0TAR0	A0A7P0TAR0_HUMAN	AATF
A0A7P0TBG4	A0A7P0TBG4_HUMAN	AATF
A0A7P0TBI0	A0A7P0TBI0_HUMAN	AATF
A0A7P0Z434	A0A7P0Z434_HUMAN	AATF
A0A7P0Z4N2	A0A7P0Z4N2_HUMAN	AATF
A0A7P0Z4P2	A0A7P0Z4P2_HUMAN	AATF
Q86UQ4	ABCAD_HUMAN	ABCA13
A0A0A0MT16	A0A0A0MT16_HUMAN	ABCA13
F5H7B7	F5H7B7_HUMAN	ABCA13
H0Y4D2	H0Y4D2_HUMAN	ABCA13
H7BZI9	H7BZI9_HUMAN	ABCA13
H7C0U5	H7C0U5_HUMAN	ABCA13
L8E9N5	L8E9N5_HUMAN	ABCA13
P78363	ABCA4_HUMAN	ABCA4 ABCR
A0A3B3IRV8	A0A3B3IRV8_HUMAN	ABCA4
F6TT59	F6TT59_HUMAN	ABCA4
P08183	MDR1_HUMAN	ABCB1 MDR1 PGY1
A1L471	A1L471_HUMAN	ABCB1
A4D1D2	A4D1D2_HUMAN	ABCB1 hCG_20818 tcag7.316
A8E2S6	A8E2S6_HUMAN	ABCB1
B5U2G4	B5U2G4_HUMAN	ABCB1
E7EWT8	E7EWT8_HUMAN	ABCB1
F4ZUQ5	F4ZUQ5_HUMAN	ABCB1
F4ZUT2	F4ZUT2_HUMAN	ABCB1
F4ZUV0	F4ZUV0_HUMAN	ABCB1
F4ZUV4	F4ZUV4_HUMAN	ABCB1
F4ZUX9	F4ZUX9_HUMAN	ABCB1
F4ZUY5	F4ZUY5_HUMAN	ABCB1
F4ZV79	F4ZV79_HUMAN	ABCB1
Q6TBL4	Q6TBL4_HUMAN	ABCB1
Q2M3G0	ABCB5_HUMAN	ABCB5
A0ASV4	A0ASV4_HUMAN	ABCB5
H7C165	H7C165_HUMAN	ABCB5
Q9NP78	ABCB9_HUMAN	ABCB9 KIAA1520
A0A024RBU1	A0A024RBU1_HUMAN	ABCB9 hCG_33190
F5GX86	F5GX86_HUMAN	ABCB9
F5GXZ5	F5GXZ5_HUMAN	ABCB9
F5GYI2	F5GYI2_HUMAN	ABCB9
F5H0G0	F5H0G0_HUMAN	ABCB9
F5H4Y2	F5H4Y2_HUMAN	ABCB9
F5H5F9	F5H5F9_HUMAN	ABCB9
F5H5I5	F5H5I5_HUMAN	ABCB9
F5H5Q0	F5H5Q0_HUMAN	ABCB9
F5H7U2	F5H7U2_HUMAN	ABCB9
H7C478	H7C478_HUMAN	ABCB9
Q6P2Q0	Q6P2Q0_HUMAN	ABCB9
O15439	MRP4_HUMAN	ABCC4 MOATB MRP4
A0A2R8Y5Z3	A0A2R8Y5Z3_HUMAN	ABCC4
A0A2R8Y6V8	A0A2R8Y6V8_HUMAN	ABCC4
A0A2R8YDC1	A0A2R8YDC1_HUMAN	ABCC4
A0A2R8YDG7	A0A2R8YDG7_HUMAN	ABCC4
A0A5C0NTB8	A0A5C0NTB8_HUMAN	ABCC4
Q8IUA3	Q8IUA3_HUMAN	ABCC4 hCG_2039665
Q8IWU1	Q8IWU1_HUMAN	ABCC4 hCG_2039665
O95255	MRP6_HUMAN	ABCC6 ARA MRP6
A0A0G2JMG3	A0A0G2JMG3_HUMAN	ABCC6
A0A0J9YVW5	A0A0J9YVW5_HUMAN	ABCC6
A0A1W2PPQ8	A0A1W2PPQ8_HUMAN	ABCC6
A0A804HJ04	A0A804HJ04_HUMAN	ABCC6
A0A8C8Q0G8	A0A8C8Q0G8_HUMAN	ABCC6
I3L1Z6	I3L1Z6_HUMAN	ABCC6
P28288	ABCD3_HUMAN	ABCD3 PMP70 PXMP1
A0A3B3ITW3	A0A3B3ITW3_HUMAN	ABCD3
P45844	ABCG1_HUMAN	ABCG1 ABC8 WHT1
C9JKD9	C9JKD9_HUMAN	ABCG1
E9PGV9	E9PGV9_HUMAN	ABCG1
Q7L211	ABHDD_HUMAN	ABHD13 C13orf6
A0A024RDX1	A0A024RDX1_HUMAN	ABHD13 hCG_1651912
Q9BUJ0	ABHEA_HUMAN	ABHD14A UNQ1913/PRO4373
C9IYJ8	C9IYJ8_HUMAN	ABHD14A
C9J7W8	C9J7W8_HUMAN	ABHD14A
C9JMW6	C9JMW6_HUMAN	ABHD14A
K7N7A0	K7N7A0_HUMAN	ABHD14A
Q96I13	ABHD8_HUMAN	ABHD8
B2C6G3	B2C6G3_HUMAN	ABHD8 hCG_37664
M0QX40	M0QX40_HUMAN	ABHD8
M0QZA8	M0QZA8_HUMAN	ABHD8
P00519	ABL1_HUMAN	ABL1 ABL JTK7
A0A024R8E2	A0A024R8E2_HUMAN	ABL1 hCG_28416
Q13688	Q13688_HUMAN	ABL1
Q13689	Q13689_HUMAN	ABL1
Q13691	Q13691_HUMAN	ABL1
Q13914	Q13914_HUMAN	ABL1
Q13915	Q13915_HUMAN	ABL1
Q3B836	Q3B836_HUMAN	ABL1
Q3B837	Q3B837_HUMAN	ABL1
Q86Y36	Q86Y36_HUMAN	ABL1
R4GRW0	R4GRW0_HUMAN	ABL1
P42684	ABL2_HUMAN	ABL2 ABLL ARG
Q6H8Q1	ABLM2_HUMAN	ABLIM2 KIAA1808
A0A7I2V5G9	A0A7I2V5G9_HUMAN	ABLIM2
D6RAL0	D6RAL0_HUMAN	ABLIM2
F5GYR0	F5GYR0_HUMAN	ABLIM2
Q19VH1	Q19VH1_HUMAN	ABLIM2
Q4W5G4	Q4W5G4_HUMAN	ABLIM2
Q12979	ABR_HUMAN	ABR
A0A0D9SGD7	A0A0D9SGD7_HUMAN	ABR
A0A0G2JQ41	A0A0G2JQ41_HUMAN	ABR
A0A0G2JQB5	A0A0G2JQB5_HUMAN	ABR
A0A0G2JQM3	A0A0G2JQM3_HUMAN	ABR
A0A0G2JQT5	A0A0G2JQT5_HUMAN	ABR
A0A0G2JRC2	A0A0G2JRC2_HUMAN	ABR
A0A0G2JRJ1	A0A0G2JRJ1_HUMAN	ABR
A0A0G2JRW2	A0A0G2JRW2_HUMAN	ABR
A0A0G2JSE0	A0A0G2JSE0_HUMAN	ABR
A0A1C7CYZ0	A0A1C7CYZ0_HUMAN	ABR
B7Z683	B7Z683_HUMAN	ABR
I3L0R7	I3L0R7_HUMAN	ABR
I3L1U8	I3L1U8_HUMAN	ABR
I3L259	I3L259_HUMAN	ABR
I3L2C0	I3L2C0_HUMAN	ABR
I3L2L3	I3L2L3_HUMAN	ABR
I3L2P5	I3L2P5_HUMAN	ABR
I3L379	I3L379_HUMAN	ABR
I3L3W0	I3L3W0_HUMAN	ABR
I3L4Y1	I3L4Y1_HUMAN	ABR
I3NI05	I3NI05_HUMAN	ABR
Q8N0Z2	ABRA_HUMAN	ABRA
Q13085	ACACA_HUMAN	ACACA ACAC ACC1 ACCA
A0A087WVR6	A0A087WVR6_HUMAN	ACACA
A0A087WWN5	A0A087WWN5_HUMAN	ACACA
A0A087WYK6	A0A087WYK6_HUMAN	ACACA
A0A087WYS8	A0A087WYS8_HUMAN	ACACA
A0A087X0W4	A0A087X0W4_HUMAN	ACACA
A0A087X126	A0A087X126_HUMAN	ACACA
A0A087X2F8	A0A087X2F8_HUMAN	ACACA
A0A0C4DGT1	A0A0C4DGT1_HUMAN	ACACA
L8EAV0	L8EAV0_HUMAN	ACACA
Q59FY4	Q59FY4_HUMAN	ACACA
Q7Z5W8	Q7Z5W8_HUMAN	ACACA
Q6JQN1	ACD10_HUMAN	ACAD10
D6RFF6	D6RFF6_HUMAN	ACAD10
F8VXK4	F8VXK4_HUMAN	ACAD10
F8W0Q4	F8W0Q4_HUMAN	ACAD10
F8W179	F8W179_HUMAN	ACAD10
F8W1A9	F8W1A9_HUMAN	ACAD10
F8W1I9	F8W1I9_HUMAN	ACAD10
P45954	ACDSB_HUMAN	ACADSB
A0A0S2Z374	A0A0S2Z374_HUMAN	ACADSB
A0A0S2Z3P9	A0A0S2Z3P9_HUMAN	ACADSB
Q96P50	ACAP3_HUMAN	ACAP3 CENTB5 KIAA1716
F8W850	F8W850_HUMAN	ACAP3
Q8N2W2	Q8N2W2_HUMAN	ACAP3
Q8WTZ1	Q8WTZ1_HUMAN	ACAP3
Q5T8D3	ACBD5_HUMAN	ACBD5 KIAA1996
A0A087X0B8	A0A087X0B8_HUMAN	ACBD5
A0A7I2V2M2	A0A7I2V2M2_HUMAN	ACBD5
A0A7I2V2R8	A0A7I2V2R8_HUMAN	ACBD5
A0A7I2V2Y9	A0A7I2V2Y9_HUMAN	ACBD5
A0A7I2V347	A0A7I2V347_HUMAN	ACBD5 hCG_25243
A0A7I2V420	A0A7I2V420_HUMAN	ACBD5
A0A7I2V462	A0A7I2V462_HUMAN	ACBD5
A0A7I2V556	A0A7I2V556_HUMAN	ACBD5
A0A7I2V560	A0A7I2V560_HUMAN	ACBD5
A0A7I2V5E1	A0A7I2V5E1_HUMAN	ACBD5
A0A7I2V5L4	A0A7I2V5L4_HUMAN	ACBD5
A0A7I2V5U2	A0A7I2V5U2_HUMAN	ACBD5
A0A7I2V690	A0A7I2V690_HUMAN	ACBD5
A0A7I2YQD7	A0A7I2YQD7_HUMAN	ACBD5
