,,
,,
,,
,,
,,
,,
,,
NM_001130413.4,SCNN1D,6339
,,6339
,,6339
,,6339
,,6339
NM_001130413.4,SCNN1D,6339
NM_030649.3,ACAP3,6339
,,6339
,,6339
,,6339
,,116983
,,116983
,,116983
NM_001290264.2,SLC35E2B,984
,,984
,,984
,,984
,,984
,,984
,,984
,,984
,,728661
,,728661
,,728661
,,728661
,,728661
,,
NM_001304360.2,CFAP74,85452
,,85452
NM_002744.6,PRKCZ,5590
,,5590
,,5590
NM_002744.6,PRKCZ,5590
,,5590
,,5590
,,5590
,,5590
NM_002744.6,PRKCZ,5590
,,5590
,,5590
,,5590
,,5590
,,5590
,,
NM_024848.3,MORN1,79906
,,79906
,,79906
,,79906
NM_001409.4,MEGF6,1953
,,1953
NM_005427.4,TP73,7161
,,7161
,,7161
,,7161
,,7161
,,7161
,,7161
,,7161
,,7161
,,7161
,,7161
,,7161
,,7161
,,
NM_015102.5,NPHP4,261734
,,261734
,,261734
,,261734
NM_015557.3,CHD5,26038
,,26038
,,26038
NM_007274.4,ACOT7,11332
,,11332
,,11332
,,11332
,,11332
NM_031475.3,ESPN,83715
NM_020631.6,PLEKHG5,57449
,,57449
,,57449
,,57449
,,57449
,,57449
,,57449
,,57449
,,57449
,,57449
,,57449
,,
,,
NM_015215.4,CAMTA1,23261
NM_015215.4,CAMTA1,23261
NM_015215.4,CAMTA1,23261
NM_015215.4,CAMTA1,23261
,,23261
,,23261
,,23261
NM_001377275.1,PER3,8863
,,8863
,,8863
,,8863
,,8863
,,10911
NM_007262.5,PARK7,11315
,,11315
,,11315
,,
,,
NM_001042681.2,RERE,473
,,473
,,473
NM_001042681.2,RERE,473
,,473
,,473
NM_001042681.2,RERE,473
,,473
,,473
NM_001042681.2,RERE,473
,,473
,,473
,,
,,
NM_024980.5,GPR157,
,,
NM_001009566.3,CLSTN1,22883
,,22883
,,22883
,,
NM_020248.3,CTNNBIP1,56998
,,56998
NM_020248.3,CTNNBIP1,56998
,,56998
,,
NM_001079843.3,CASZ1,54897
,,54897
,,54897
NM_001170754.1,C1orf127,148345
,,148345
,,148345
,,
,,
,,
,,343068
NM_001099850.2,PRAMEF18,343068
,,343068
,,
NM_012231.4,PRDM2,7799
,,7799
,,7799
NM_012231.4,PRDM2,7799
,,7799
,,7799
,,
NM_201628.3,KAZN,23254
NM_001387888.1,FHAD1,114827
,,114827
NM_001387888.1,FHAD1,114827
,,114827
NM_207348.3,SLC25A34,284723
NM_000085.5,CLCNKB,1188
,,1188
,,
NM_030907.4,CPLANE2,79363
,,
NM_017940.6,NBPF1,55672
,,55672
,,
NM_014675.5,CROCC,9696
,,9696
,,9696
NM_003000.3,SDHB,6390
NM_016233.2,PADI3,51702
,,
,,
,,
,,
,,
NM_018125.4,ARHGEF10L,55160
,,55160
,,55160
,,55160
,,55160
,,
NM_032880.5,IGSF21,84966
,,
NM_003748.4,ALDH4A1,8659
,,8659
,,8659
,,8659
NM_003748.4,ALDH4A1,8659
,,8659
,,8659
,,8659
NM_004930.5,CAPZB,832
,,832
,,832
,,832
,,
NM_005380.8,NBL1,100532736
,,100532736
,,4681
,,4681
,,4681
,,4681
,,4681
,,4681
,,4681
,,4681
NM_005380.8,NBL1,100532736
,,100532736
,,4681
,,4681
,,4681
,,4681
,,4681
,,4681
,,4681
,,4681
NM_181719.7,TMCO4,255104
,,255104
,,255104
NM_181719.7,TMCO4,255104
,,255104
,,255104
,,
,,
,,
NM_152376.5,UBXN10,
,,
,,
,,
,,
,,
,,
NM_001142546.2,LUZP1,7798
,,7798
,,7798
,,7798
,,
,,
,,
,,
,,
NM_152372.4,MYOM3,127294
,,127294
,,127294
,,
,,
NM_013943.3,CLIC4,25932
,,25932
,,
NM_016124.4,RHD,57035
,,6007
,,6007
,,6007
,,6007
,,6007
,,6007
,,6007
,,6007
,,6007
NM_020485.6,RHCE,6006
,,6006
,,6006
,,6006
,,6006
,,6006
,,6006
,,
NM_020451.3,SELENON,57190
,,57190
,,
NM_001114759.3,ZNF683,257101
,,257101
,,257101
,,
,,
,,n/a
NM_001013642.3,TRNP1,n/a
,,388610
,,
NM_004672.5,MAP3K6,9064
,,9064
NM_005281.4,GPR3,2827
,,
,,
,,
,,
NM_001376013.1,EPB41,2035
,,2035
,,2035
,,2035
,,2035
,,2035
,,2035
,,2035
,,2035
,,2035
,,2035
,,
,,
,,
,,
,,100129196
,,
,,
NM_178865.5,SERINC2,347735
,,347735
,,347735
,,347735
,,347735
,,347735
NM_178865.5,SERINC2,347735
,,347735
,,347735
,,347735
,,347735
,,347735
,,
,,
NM_001281987.2,SPOCD1,
,,
,,
,,
,,
,,
,,
,,
NM_052998.4,AZIN2,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
NM_052998.4,AZIN2,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,113451
,,
NM_152493.3,ZNF362,149076
NM_152493.3,ZNF362,149076
,,
NM_001281956.2,CSMD2,114784
,,114784
,,114784
NM_001281956.2,CSMD2,114784
,,114784
,,114784
,,
,,
,,
,,
,,26523
NM_005202.4,COL8A2,1296
,,1296
NM_145047.5,OSCP1,127700
,,127700
,,127700
,,
,,
NM_000831.4,GRIK3,2899
,,2899
NM_005955.3,MTF1,4520
,,
,,
NM_012090.5,MACF1,23499
,,23499
,,23499
,,23499
NM_012090.5,MACF1,23499
,,23499
,,23499
,,23499
,,728448
,,
,,
,,
,,
,,
,,
,,
NM_001031694.2,SCMH1,22955
,,22955
,,22955
,,22955
,,22955
,,22955
,,22955
,,22955
,,
,,
,,
,,
NM_024503.5,HIVEP3,59269
,,59269
,,59269
,,
NM_014947.5,FOXJ3,22887
,,22887
,,22887
,,22887
NM_001080850.3,CCDC30,728621
,,728621
,,728621
,,728621
,,728621
NM_148960.3,CLDN19,149461
,,149461
,,149461
,,
,,
,,
NM_001378189.1,CFAP57,10969
,,149465
NM_001365999.1,SZT2,23334
,,23334
NM_006279.5,ST3GAL3,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
,,6487
NM_057091.3,ARTN,9048
,,9048
,,9048
,,9048
NM_152499.4,CCDC24,6536
,,6536
,,149473
,,149473
NM_024066.3,ERI3,79033
,,79033
,,79033
NM_001145636.2,ARMH1,339541
NM_000374.5,UROD,7389
,,7389
,,7389
,,7389
,,7389
,,
NM_007170.3,TESK2,10420
,,10420
,,10420
,,10420
,,
NM_005727.4,TSPAN1,10103
,,
NM_199044.4,NSUN4,387338
,,387338
,,387338
,,387338
,,387338
,,387338
,,387338
,,387338
,,
,,
,,
,,
,,
NM_032785.4,AGBL4,84871
,,84871
,,84871
,,84871
,,84871
NM_007051.3,FAF1,11124
,,11124
NM_007051.3,FAF1,11124
,,11124
NM_007051.3,FAF1,11124
,,11124
,,
,,
,,
,,
NM_004799.4,ZFYVE9,9372
,,9372
NM_023077.3,COA7,65260
,,
,,
,,
NM_001256409.2,LRRC42,115353
,,115353
NM_001031672.4,CYB5RL,606495
,,606495
,,606495
,,606495
NM_001110533.2,LEXM,163747
,,163747
,,
,,
,,
,,
,,
,,
,,1600
,,1600
,,1600
,,1600
NM_145243.5,OMA1,1600
,,115209
,,115209
NM_145243.5,OMA1,1600
,,115209
,,115209
,,
,,100131060
,,100131060
,,
NM_018291.5,FGGY,55277
,,55277
,,55277
,,55277
,,55277
NM_018291.5,FGGY,55277
,,55277
,,55277
,,55277
,,
,,
,,
,,
NM_001350145.3,PATJ,10207
,,10207
,,10207
,,10207
,,10207
,,10207
,,10207
,,10207
NM_001350145.3,PATJ,10207
,,10207
,,10207
NM_001350145.3,PATJ,10207
,,10207
,,10207
,,
,,
NM_014288.5,ITGB3BP,23421
,,23421
,,23421
,,
NM_005012.4,ROR1,4919
,,4919
,,n/a
NM_018211.4,RAVER2,55225
,,55225
,,55225
,,
NM_013410.4,AK4,205
,,205
,,205
,,205
,,
,,
NM_002600.4,PDE4B,5142
,,5142
,,5142
,,5142
NM_002600.4,PDE4B,5142
,,5142
,,5142
,,5142
,,
NM_152665.3,DYNLT5,200132
,,200132
,,200132
,,
,,149233
NM_001374259.2,IL12RB2,3595
,,3595
,,3595
,,3595
,,3595
,,3595
,,3595
,,
,,
,,
,,100289178
,,100289178
,,79971
,,
,,
NM_173808.3,NEGR1,257194
,,257194
,,257194
NM_173808.3,NEGR1,257194
,,257194
,,
,,
,,
,,
NM_030965.3,ST6GALNAC5,81849
,,81849
,,81849
NM_005482.3,PIGK,10026
,,10026
,,10026
NM_005482.3,PIGK,10026
,,10026
,,10026
NM_017655.6,GIPC2,54810
NM_017655.6,GIPC2,54810
,,
